subject_id,chunk,gender,age,height,weight,chest,waist,hip,s3_csv_key,age_group,height_bin,weight_bin,body_type,age_cohort
F061,TS_F009toF108,F,29,166.7,60.2,88.8,73.7,97.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F061/csv/F061.csv,20대,Medium,Normal,Medium_Normal,Young
F063,TS_F009toF108,F,37,164.5,54.5,85.6,71.7,93.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F063/csv/F063.csv,30대,Medium,Light,Medium_Light,Young
F268,TS_F209toF308,F,25,157.6,53.5,82.5,67.5,94.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F268/csv/F268.csv,20대,Short,Light,Short_Light,Young
F292,TS_F209toF308,F,29,167.5,62.4,91.3,72.7,98.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F292/csv/F292.csv,20대,Medium,Normal,Medium_Normal,Young
F265,TS_F209toF308,F,35,159.8,65.5,91.0,78.8,100.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F265/csv/F265.csv,30대,Short,Normal,Short_Normal,Young
F355,TS_F309toF408,F,28,167.8,53.0,79.8,69.2,92.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F355/csv/F355.csv,20대,Medium,Light,Medium_Light,Young
F312,TS_F309toF408,F,24,158.2,51.4,84.5,67.0,87.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F312/csv/F312.csv,20대,Short,Light,Short_Light,Young
F125,TS_F109toF208,F,21,167.3,59.3,92.1,68.0,97.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F125/csv/F125.csv,20대,Medium,Normal,Medium_Normal,Young
F352,TS_F309toF408,F,20,160.2,58.9,92.8,75.0,92.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F352/csv/F352.csv,20대,Short,Normal,Short_Normal,Young
F148,TS_F109toF208,F,27,162.3,49.8,85.0,67.0,89.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F148/csv/F148.csv,20대,Medium,Light,Medium_Light,Young
F234,TS_F209toF308,F,22,152.2,47.0,79.6,62.8,91.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F234/csv/F234.csv,20대,Short,Light,Short_Light,Young
F343,TS_F309toF408,F,33,162.5,62.8,91.9,79.2,94.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F343/csv/F343.csv,30대,Medium,Normal,Medium_Normal,Young
F293,TS_F209toF308,F,32,154.8,57.5,88.3,75.8,93.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F293/csv/F293.csv,30대,Short,Normal,Short_Normal,Young
F115,TS_F109toF208,F,34,161.4,56.8,89.1,69.2,95.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F115/csv/F115.csv,30대,Medium,Light,Medium_Light,Young
F317,TS_F309toF408,F,26,156.0,55.1,88.0,73.0,94.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F317/csv/F317.csv,20대,Short,Light,Short_Light,Young
F073,TS_F009toF108,F,26,161.7,59.7,80.1,71.0,96.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F073/csv/F073.csv,20대,Medium,Normal,Medium_Normal,Young
F199,TS_F109toF208,F,39,161.4,46.7,78.4,65.9,89.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F199/csv/F199.csv,30대,Medium,Light,Medium_Light,Young
F041,TS_F009toF108,F,35,156.9,51.3,83.7,66.0,94.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F041/csv/F041.csv,30대,Short,Light,Short_Light,Young
F301,TS_F209toF308,F,37,155.6,55.9,87.6,71.9,90.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F301/csv/F301.csv,30대,Short,Light,Short_Light,Young
F394,TS_F309toF408,F,33,162.9,57.6,83.6,70.6,95.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F394/csv/F394.csv,30대,Medium,Normal,Medium_Normal,Young
F221,TS_F209toF308,F,24,161.2,48.6,82.0,67.0,89.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F221/csv/F221.csv,20대,Medium,Light,Medium_Light,Young
F193,TS_F109toF208,F,24,158.9,49.1,79.5,65.3,86.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F193/csv/F193.csv,20대,Short,Light,Short_Light,Young
F349,TS_F309toF408,F,30,166.5,58.5,86.4,69.6,92.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F349/csv/F349.csv,30대,Medium,Normal,Medium_Normal,Young
F098,TS_F009toF108,F,20,169.0,46.7,76.0,59.5,86.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F098/csv/F098.csv,20대,Medium,Light,Medium_Light,Young
F153,TS_F109toF208,F,39,158.1,45.3,78.5,66.2,85.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F153/csv/F153.csv,30대,Short,Light,Short_Light,Young
F057,TS_F009toF108,F,35,161.6,65.0,90.0,78.4,105.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F057/csv/F057.csv,30대,Medium,Normal,Medium_Normal,Young
F346,TS_F309toF408,F,38,165.2,56.9,77.8,66.0,94.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F346/csv/F346.csv,30대,Medium,Light,Medium_Light,Young
F285,TS_F209toF308,F,23,164.6,63.0,94.0,76.6,96.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F285/csv/F285.csv,20대,Medium,Normal,Medium_Normal,Young
F120,TS_F109toF208,F,27,160.7,52.5,87.6,68.0,88.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F120/csv/F120.csv,20대,Medium,Light,Medium_Light,Young
F090,TS_F009toF108,F,34,157.2,49.6,85.0,66.8,90.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F090/csv/F090.csv,30대,Short,Light,Short_Light,Young
F251,TS_F209toF308,F,38,164.4,49.0,80.5,63.0,87.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F251/csv/F251.csv,30대,Medium,Light,Medium_Light,Young
F111,TS_F109toF208,F,37,164.1,59.3,88.5,74.4,95.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F111/csv/F111.csv,30대,Medium,Normal,Medium_Normal,Young
F269,TS_F209toF308,F,25,162.5,52.4,79.8,60.6,88.9,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F269/csv/F269.csv,20대,Medium,Light,Medium_Light,Young
F043,TS_F009toF108,F,23,153.6,49.8,84.3,68.9,88.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F043/csv/F043.csv,20대,Short,Light,Short_Light,Young
F072,TS_F009toF108,F,49,154.9,55.2,89.7,75.0,93.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F072/csv/F072.csv,40대,Short,Light,Short_Light,Senior
F374,TS_F309toF408,F,45,160.9,54.1,82.5,68.6,94.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F374/csv/F374.csv,40대,Medium,Light,Medium_Light,Senior
F376,TS_F309toF408,F,53,166.1,70.1,97.0,83.5,98.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F376/csv/F376.csv,50대,Medium,Heavy,Medium_Heavy,Senior
F233,TS_F209toF308,F,51,155.0,61.8,100.5,84.2,91.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F233/csv/F233.csv,50대,Short,Normal,Short_Normal,Senior
F275,TS_F209toF308,F,43,148.6,74.7,102.5,95.0,106.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F275/csv/F275.csv,40대,Short,Heavy,Short_Heavy,Senior
F051,TS_F009toF108,F,49,169.9,64.5,87.7,76.6,100.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F051/csv/F051.csv,40대,Tall,Normal,Tall_Normal,Senior
F117,TS_F109toF208,F,47,169.3,83.1,110.8,98.5,102.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F117/csv/F117.csv,40대,Tall,Heavy,Tall_Heavy,Senior
F342,TS_F309toF408,F,51,155.1,56.9,89.5,74.2,94.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F342/csv/F342.csv,50대,Short,Light,Short_Light,Senior
F220,TS_F209toF308,F,48,164.6,56.5,83.0,69.9,94.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F220/csv/F220.csv,40대,Medium,Light,Medium_Light,Senior
F282,TS_F209toF308,F,44,163.9,60.3,89.0,74.3,94.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F282/csv/F282.csv,40대,Medium,Normal,Medium_Normal,Senior
F071,TS_F009toF108,F,48,166.5,90.1,103.3,89.7,109.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F071/csv/F071.csv,40대,Medium,Heavy,Medium_Heavy,Senior
F156,TS_F109toF208,F,56,158.8,59.5,95.2,79.3,92.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F156/csv/F156.csv,50대,Short,Normal,Short_Normal,Senior
F354,TS_F309toF408,F,74,153.8,79.5,108.5,101.3,112.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F354/csv/F354.csv,60대이상,Short,Heavy,Short_Heavy,Senior
F093,TS_F009toF108,F,44,172.2,60.1,83.6,69.4,96.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F093/csv/F093.csv,40대,Tall,Normal,Tall_Normal,Senior
F226,TS_F209toF308,F,50,162.9,54.7,87.0,77.5,92.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F226/csv/F226.csv,50대,Medium,Light,Medium_Light,Senior
F145,TS_F109toF208,F,49,160.5,62.9,95.6,77.0,100.6,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F145/csv/F145.csv,40대,Medium,Normal,Medium_Normal,Senior
F103,TS_F009toF108,F,53,162.5,76.6,101.0,90.5,105.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F103/csv/F103.csv,50대,Medium,Heavy,Medium_Heavy,Senior
F013,TS_F009toF108,F,50,152.0,74.0,101.9,99.7,105.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F013/csv/F013 - 측정데이터입력표.csv,50대,Short,Heavy,Short_Heavy,Senior
F313,TS_F309toF408,F,43,172.6,63.5,88.7,76.5,99.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F313/csv/F313.csv,40대,Tall,Normal,Tall_Normal,Senior
F396,TS_F309toF408,F,49,159.1,53.6,84.3,71.4,88.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F396/csv/F396.csv,40대,Short,Light,Short_Light,Senior
F369,TS_F309toF408,F,40,165.5,55.0,84.4,65.9,92.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F369/csv/F369.csv,40대,Medium,Light,Medium_Light,Senior
F385,TS_F309toF408,F,63,160.5,64.7,93.7,78.6,99.1,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F385/csv/F385.csv,60대이상,Medium,Normal,Medium_Normal,Senior
F017,TS_F009toF108,F,44,167.6,74.1,105.0,90.4,98.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F017/csv/F017.csv,40대,Medium,Heavy,Medium_Heavy,Senior
F319,TS_F309toF408,F,55,163.7,55.7,88.2,72.3,90.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F319/csv/F319.csv,50대,Medium,Light,Medium_Light,Senior
F123,TS_F109toF208,F,42,163.0,65.9,94.7,83.5,100.3,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F123/csv/F123.csv,40대,Medium,Normal,Medium_Normal,Senior
F259,TS_F209toF308,F,61,161.0,71.8,106.6,94.1,100.7,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F259/csv/F259.csv,60대이상,Medium,Heavy,Medium_Heavy,Senior
F020,TS_F009toF108,F,63,153.3,58.5,92.7,80.3,97.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F020/csv/F020.csv,60대이상,Short,Normal,Short_Normal,Senior
F099,TS_F009toF108,F,55,158.5,71.4,101.5,94.4,105.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F099/csv/F099.csv,50대,Short,Heavy,Short_Heavy,Senior
F241,TS_F209toF308,F,69,152.1,57.3,91.6,83.8,92.5,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F241/csv/F241.csv,60대이상,Short,Light,Short_Light,Senior
F408,TS_F309toF408,F,53,163.1,56.3,85.3,71.0,95.2,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F309toF408/F408/csv/F408.csv,50대,Medium,Light,Medium_Light,Senior
F075,TS_F009toF108,F,49,161.6,76.3,105.3,89.1,104.4,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F009toF108/F075/csv/F075.csv,40대,Medium,Heavy,Medium_Heavy,Senior
F178,TS_F109toF208,F,50,156.1,65.8,93.5,83.4,96.0,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F109toF208/F178/csv/F178.csv,50대,Short,Normal,Short_Normal,Senior
F223,TS_F209toF308,F,50,158.7,71.9,109.5,101.2,95.8,20.한국인_전신_형상_및_치수_측정_데이터/01.데이터/1.Training/원천데이터/TS_F209toF308/F223/csv/F223.csv,50대,Short,Heavy,Short_Heavy,Senior
